id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38223997,Großes Zimmer im Zentrum von München,290453092,Desi,,Ludwigsvorstadt-Isarvorstadt,48.12883,11.56083,Private room,219,3,11,2022-09-09,0.31,1,241,2,
38232052,Gemütliches Privatzimmer in 3 Zi.-WHG in Pasing,290510158,Vivian,,Pasing-Obermenzing,48.14348,11.45115,Private room,58,2,7,2022-09-17,5.12,1,149,7,
38248574,Best of Bavaria,3749978,Pedro,,Berg am Laim,48.12916,11.62151,Entire home/apt,50,11,2,2019-10-06,0.06,1,0,0,
38253851,Helle Wohnung (93qm) mit 2 Balkonen zum Wohlfühlen,8623011,Anette,,Sendling-Westpark,48.12014,11.53092,Entire home/apt,110,3,19,2022-07-10,0.52,2,0,10,
38255968,Quiet room next to park and close to center,1099926,Gudrun,,Sendling-Westpark,48.12176,11.53017,Private room,66,2,22,2022-09-21,0.60,1,217,10,
38259929,CENTRAL * 2 ROOMS  * 3 BEDS * KING BED * GARAGE,31836935,Aymen,,Schwanthalerhöhe,48.14006423950195,11.53069019317627,Entire home/apt,498,1,9,2022-09-19,0.25,1,17,1,
38260029,Gästezimmer Mo-Fr,184859505,Mark,,Milbertshofen-Am Hart,48.18868,11.5654,Private room,30,14,1,2019-10-05,0.03,1,233,0,
38261620,MODERN PRIVATE APARTEMENT CLOSE TO OKTOBERFEST,20233471,Rene,,Altstadt-Lehel,48.13416198898737,11.576952375339918,Entire home/apt,1314,2,1,2019-09-24,0.03,2,6,0,
38271041,UNIQUE LOFT APARTMENT  WITH GREAT VIEW OVER MUNICH,290909548,Sven,,Ludwigsvorstadt-Isarvorstadt,48.13598,11.55592,Entire home/apt,240,2,2,2019-10-06,0.06,1,0,0,
38276107,15 min to Oktoberfest / 5 min to Messe München,9324621,Mandy,,Bogenhausen,48.13829745393969,11.617792310578777,Entire home/apt,286,2,2,2019-09-30,0.05,2,17,0,
38278924,LIVE IN THE EXCITING MILE OF THE THERESIENSTREET,290980047,Johannes,,Maxvorstadt,48.152,11.56577,Entire home/apt,84,2,4,2019-10-17,0.11,1,0,0,
38281381,Appartement mit eigenem Eingang U-Bahn Nähe,222178666,Manuela,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09242,11.50693,Entire home/apt,55,3,128,2022-09-17,3.50,2,180,46,
38281651,OKTOBERFEST- 30 Minutes to Go,291005819,Max,,Untergiesing-Harlaching,48.10309,11.55686,Private room,140,1,3,2022-09-19,0.08,1,360,2,
38287993,Cozy Artist Appartment /Very central,237247829,Susan,,Au-Haidhausen,48.12758,11.58598,Entire home/apt,100,3,11,2022-08-07,1.33,1,334,11,
38289820,"Elegant, comfortable Apartment in historic palais",132150258,Elena,,Neuhausen-Nymphenburg,48.15434,11.51983,Entire home/apt,251,3,7,2019-12-28,0.19,1,0,0,
38305205,MODERN APARTMENT IN TRANQUIL NEIGHBORHOOD,291238984,Markus,,Milbertshofen-Am Hart,48.18181,11.57492,Entire home/apt,96,2,4,2019-10-28,0.11,2,0,0,
38305661,Cozy apartment not far from October fest,3348759,Sandra,,Laim,48.1384875,11.5165831,Entire home/apt,190,3,0,,,1,310,0,
38308384,Doppelzimmer mit Balkon und Küche,289339421,Centerroom München,,Milbertshofen-Am Hart,48.18184,11.56721,Hotel room,173,1,484,2022-09-21,13.16,3,358,33,
38308664,Comfy one private room.,237999651,Sudhanshu,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07845,11.48558,Private room,35,1,6,2020-03-29,0.16,1,8,0,
38308742,Doppelzimmer mit Balkon und Küche (Twin),289339421,Centerroom München,,Milbertshofen-Am Hart,48.18142,11.56719,Hotel room,173,1,120,2022-09-15,3.28,3,358,81,
